id,prediction
4,1537.90470655
6,1885.74065246
9,9616.10531396
12,6738.54689258
15,786.95532074
17,2413.89050855
21,2127.34193775
28,794.279374451
32,2727.94770093
43,3072.07888794
46,2828.01135522
50,893.717638977
54,1203.68390857
62,2008.71062219
70,2147.66914807
71,4904.25104052
75,2176.55793384
77,2331.12031201
81,2403.78406811
83,2371.32322314
87,1788.2457146
97,1596.5201023
103,1112.80589795
119,1004.81867084
120,1758.01847253
127,945.927773743
138,4768.16665381
141,3350.1672063
148,665.500536377
150,2442.68000269
151,2229.80065478
158,1404.25234839
160,5730.52502588
165,2410.47916724
168,3702.26300562
169,3880.20108008
177,2857.35062866
178,3633.53839282
184,2127.72433716
194,9193.48324902
198,1710.01205078
203,3438.10102881
211,2342.78190137
217,1256.51718201
219,1219.19911096
221,5165.2885249
227,1834.45304956
230,1438.59897937
235,1947.87121497
240,678.115774292
243,2857.74633374
249,6102.84691602
253,2769.19302588
258,1320.46539038
261,1639.35982386
263,3448.48011865
264,2430.07142359
265,4174.83146167
268,1860.59720849
271,1099.49504761
274,5967.9200166
275,691.332439392
279,1448.76170569
282,1519.56741028
286,3282.42161889
288,1107.73256885
294,2066.09613183
296,1013.30533142
297,1481.46165552
300,752.791192688
303,9092.82667578
314,1054.69614331
315,4701.67319483
321,2438.98127148
323,3663.134927
330,3821.69705786
341,1821.20488025
342,4235.31170996
352,1619.60044458
353,3920.04153955
360,5317.09713574
361,2261.17309961
362,4518.04151221
366,1283.64263952
372,3187.89880957
376,2839.78955298
377,2269.3047395
379,1601.94804333
380,3659.40706861
387,1810.75364661
392,2021.40688989
394,10891.1963389
395,1535.08089722
397,1444.69423596
407,5993.53531055
411,9943.44756737
416,2563.01854956
417,1542.96395154
419,4405.83624829
428,6217.79260693
431,1828.26385486
436,9353.46051855
438,1609.13566138
445,6666.24368506
446,7338.216104
455,1364.71615247
456,1164.23661768
461,961.559483399
463,1828.53455579
464,3674.87621216
466,1707.12883581
467,1233.24076745
470,1246.54913416
475,1429.60223853
482,3098.60582447
490,3510.77817334
496,1758.27824877
497,4575.95947754
508,2762.48790283
510,1798.47549231
512,1987.14856506
513,3708.30131665
523,1844.90827491
531,5168.14048096
532,2140.66578808
533,1274.56252429
537,1134.24055981
544,4940.89142432
547,2673.18455469
556,8051.55782812
565,1401.87079737
566,1177.2282417
571,1414.08274964
573,1884.067021
574,880.177565124
581,2032.49219519
585,2130.08917481
589,1686.86157727
597,1849.76471716
601,3255.71260693
602,1810.77402576
613,1459.55202807
616,1363.82540222
619,2136.53604053
622,1772.54356262
623,2111.72983985
629,1668.51913514
634,1487.23292408
638,1024.55221399
642,1038.13432751
643,2061.80747851
645,1042.84544763
648,7465.97132275
652,1200.87333679
664,964.212270447
666,2206.42843433
672,854.104849427
676,2389.85334595
678,4594.00816162
682,1861.09917725
686,2934.98794678
688,2168.55943262
689,1229.00542457
690,1780.2648252
692,12338.0632637
695,1585.78717493
697,4083.22928418
698,2202.67558178
706,2686.07440967
708,1466.4546333
712,2767.11872754
715,4214.16392188
717,1362.44647766
725,3222.21007861
729,1019.15628052
737,1314.75216003
739,5351.1106167
747,3958.95824048
753,2558.53656592
758,2385.96862036
759,2024.30772473
763,1357.1654773
773,4177.17006445
774,2029.66761682
776,1490.47792114
788,2923.91577441
790,3175.72541846
794,963.64627472
801,3049.11540625
802,1364.90104004
805,1388.84480383
809,5284.84670313
812,1529.01280346
825,2422.72991553
828,2043.30405212
830,1369.40068115
833,1088.15007056
850,5496.31205127
852,6190.47408057
862,1424.84390906
863,1334.22959949
864,1544.44159424
865,3483.5500437
868,6533.26519189
872,1561.47351184
879,5334.98848828
880,1559.35313489
883,1223.36494751
886,1350.72389319
923,1673.05511109
924,1463.72660022
932,1469.10832287
945,6568.87781836
947,6497.195021
948,2129.32873511
955,2485.31949121
963,4082.88745288
979,1346.17279688
989,1476.24538342
994,3003.40130078
995,1789.67043139
998,1434.0443031
1000,4459.36484717
1018,1731.26064465
1019,1596.71310583
1028,1992.77500317
1034,1317.3739624
1038,1613.56800512
1040,1335.55992676
1042,1243.27695911
1057,7286.8335874
1058,2475.71849072
1063,953.7765
1066,4739.15150879
1071,4101.71899536
1073,3846.14019751
1074,2668.15084741
1077,2726.44856763
1080,9781.6713789
1088,855.356503113
1096,751.614621338
1097,12201.3939717
1105,5744.71302051
1115,1872.89787036
1116,2976.93877881
1122,2241.46905567
1130,4999.34594677
1133,946.50609259
1137,1649.70341955
1140,1944.938802
1143,7938.77438867
1149,5890.52963183
1150,881.229318359
1153,732.621661072
1157,792.3848031
1180,624.836761902
1183,931.649571045
1188,1594.49101135
1193,1028.81865527
1200,787.226741455
1209,4314.17783643
1214,1877.09626343
1219,1900.17375732
1223,6257.96932324
1227,799.215143311
1228,1435.64506042
1229,4555.5742998
1233,881.272776916
1238,6505.72378662
1239,2026.40821533
1241,3355.47202563
1243,1751.8283877
1244,1111.47412866
1245,3269.35433984
1277,4668.31898194
1279,3220.86780542
1292,13762.4275078
1293,1339.56616065
1299,9524.3367334
1304,3014.01901392
1313,3712.24256006
1328,2051.79419531
1330,1105.39570581
1334,1473.73329688
1335,1309.83052319
1336,5992.83406689
1341,1021.63132886
1344,1087.89324243
1351,864.323701782
1352,2349.24538318
1354,1496.49314587
1368,4011.09582251
1373,1481.34384131
1375,663.511964233
1381,1462.02441626
1384,4732.46019922
1385,4445.14756689
1388,5641.20654297
1401,6280.95734082
1402,2708.52406641
1404,1454.04672863
1406,1403.65667884
1409,1124.60041248
1422,1386.39674915
1429,3262.5966731
1433,5718.83144482
1438,1079.88879065
1444,1141.67275671
1446,1124.49632483
1450,1117.72897571
1451,788.269239563
1454,1770.86055639
1458,2191.00599317
1461,3578.5526914
1464,5977.63311572
1465,990.845465518
1478,2011.82243799
1479,1590.6768811
1480,2611.05934766
1484,2309.34920825
1486,850.359006592
1488,808.899787109
1489,3304.2375647
1491,982.504146361
1507,2049.10856116
1515,2064.7087461
1519,2664.32889404
1528,1708.33541138
1529,914.471651734
1530,3067.8909917
1532,1138.05615991
1541,1636.88810681
1542,3350.8268164
1547,1328.55804077
1549,1180.74292127
1553,2447.69410254
1554,2861.31569727
1555,1314.32443152
1559,1560.54163745
1565,1531.80295984
1568,1190.87200501
1576,3782.99712451
1579,963.276121217
1592,950.590334593
1596,3251.66622681
1605,914.162137756
1607,1418.70783471
1612,2038.24201513
1617,3100.28975146
1619,2264.23943311
1620,8741.4834668
1624,2576.09665137
1627,1275.57240406
1633,1684.1040459
1636,1232.89168726
1639,1087.65177258
1640,4389.19734131
1644,1078.36198767
1646,1440.93274768
1647,2389.97623828
1654,1330.64589221
1655,3036.56248047
1664,6201.39132666
1665,2155.80591382
1667,5091.77744043
1669,1108.94477222
1678,2121.30023657
1682,1947.36151269
1689,1034.46131457
1690,2718.36459252
1693,5806.56177197
1695,914.213353149
1705,2340.31924243
1706,2533.0252959
1708,2032.72482471
1716,2179.14660449
1720,8827.18797217
1722,1754.04245605
1749,4365.6803164
1750,1599.51573694
1751,5647.18561474
1760,2673.00040235
1763,4271.62506323
1770,1524.14409021
1777,1925.96021509
1785,5552.96008203
1791,1064.50994238
1794,4271.51634619
1800,1215.40480518
1816,1324.1902013
1817,939.999209292
1821,3230.66102588
1836,1310.79066736
1838,1701.65300891
1851,1872.5390061
1852,2858.21362866
1854,2473.33988477
1856,815.163668945
1865,751.599540161
1872,1082.55847619
1878,739.398179932
1880,987.972388305
1881,1324.94377148
1882,1693.34636475
1886,820.514550354
1892,1430.8286012
1894,2504.19368774
1898,2748.47663281
1899,2365.95196802
1902,1194.65690491
1903,3772.6679895
1906,1398.56954163
1910,2256.17131519
1911,1686.0670293
1914,3370.8296499
1929,3223.83625024
1932,1327.03845044
1952,971.410879639
1959,1335.83093713
1960,1841.77841809
1976,3848.43307153
1980,2928.5289292
1981,2045.39505127
1987,2072.77843152
1994,1788.35048779
2000,819.961072327
2008,2141.10640051
2011,2445.51909473
2012,5254.36066064
2019,1812.63252454
2022,3424.20390112
2024,9120.03028857
2028,916.946809143
2030,3744.96543994
2031,7332.30778369
2047,1804.38408716
2049,624.714396424
2050,1580.89575708
2051,4137.54504199
2056,1670.33475757
2057,1018.47430212
2059,2418.02518262
2069,3735.46786426
2085,1652.05872778
2089,934.216889038
2090,1541.33838831
2101,3010.58577197
2114,2405.45286767
2115,1333.70360461
2118,1236.72694214
2119,2286.12714233
2125,1606.00952173
2128,2998.28882227
2129,1496.10862414
2132,1715.38473193
2133,2378.67624976
2135,748.679048889
2136,1650.71108167
2143,1141.87495849
2144,1124.08133277
2145,2887.30328857
2152,2133.64128064
2160,3416.74139258
2166,1499.71485266
2169,1076.53655017
2170,1458.34960657
2172,1685.31215735
2181,1611.40596619
2183,1691.68808313
2185,3012.35431836
2188,2565.23632251
2189,2176.04444238
2194,4976.0902168
2202,1493.34884107
2208,2811.74586963
2227,1722.53554248
2230,5625.75193603
2235,2091.5716643
2236,1651.69858093
2244,7143.57761133
2248,1467.28392651
2252,1401.48884693
2254,1573.64357849
2260,6045.60264404
2263,1944.45142151
2274,1563.13176904
2277,899.282036621
2279,6305.83957276
2280,11596.7543974
2283,2611.26584668
2284,818.986509033
2288,2859.31870874
2292,1991.00942981
