id,loss
4,1573
6,1915
9,9661
12,6456
15,789
17,2443
21,2142
28,820.7
32,2724
43,3011
46,2856
50,932.7
54,1246
62,2007
70,2174
71,4808
75,2174
77,2340
81,2443
83,2361
87,1798
97,1639
103,1153
119,1031
120,1798
127,980.1
138,4737
141,3380
148,676.3
150,2480
151,2276
158,1440
160,5615
165,2443
168,3676
169,3847
177,2856
178,3632
184,2142
194,9070
198,1731
203,3391
211,2340
217,1281
219,1246
221,5140
227,1837
230,1522
235,1955
240,730.6
243,2856
249,5847
253,2751
258,1365
261,1692
263,3391
264,2443
265,4118
268,1912
271,1128
274,5847
275,730.6
279,1522
282,1563
286,3256
288,1153
294,2092
296,1054
297,1522
300,788.8
303,9070
314,1094
315,4628
321,2480
323,3632
330,3759
341,1837
342,4146
352,1649
353,3863
360,5293
361,2276
362,4377
366,1361
372,3197
376,2856
377,2276
379,1639
380,3632
387,1837
392,2064
394,1.086e+04
395,1573
397,1522
407,5847
411,9661
416,2583
417,1573
419,4272
428,6099
431,1837
436,9125
438,1649
445,6346
446,7156
455,1376
456,1226
461,1006
463,1837
464,3632
466,1731
467,1246
470,1277
475,1457
482,3087
490,3485
496,1798
497,4522
508,2751
510,1798
512,1994
513,3719
523,1837
531,5140
532,2174
533,1314
537,1163
544,4899
547,2651
556,7984
565,1440
566,1226
571,1442
573,1915
574,912.9
581,2064
585,2142
589,1731
597,1912
601,3197
602,1837
613,1522
616,1376
619,2174
622,1798
623,2115
629,1692
634,1522
638,1054
642,1060
643,2092
645,1094
648,7435
652,1246
664,1006
666,2235
672,897.2
676,2443
678,4522
682,1912
686,2893
688,2174
689,1246
690,1798
692,1.176e+04
695,1639
697,3971
698,2218
706,2724
708,1522
712,2751
715,4146
717,1376
725,3197
729,1054
737,1365
739,5293
747,3863
753,2583
758,2443
759,2064
763,1376
773,4118
774,2064
776,1522
788,2893
790,3197
794,1006
801,3011
802,1376
805,1440
809,5293
812,1563
825,2443
828,2092
830,1376
833,1128
850,5384
852,5847
862,1457
863,1375
864,1573
865,3485
868,6346
872,1586
879,5293
880,1586
883,1246
886,1376
923,1706
924,1522
932,1522
945,6346
947,6346
948,2142
955,2528
963,3971
979,1376
989,1522
994,2997
995,1798
998,1457
1000,4323
1018,1731
1019,1639
1028,2007
1034,1365
1038,1649
1040,1375
1042,1268
1057,7156
1058,2480
1063,981.1
1066,4737
1071,3971
1073,3847
1074,2651
1077,2724
1080,9661
1088,897.2
1096,767
1097,1.176e+04
1105,5615
1115,1912
1116,2893
1122,2276
1130,4899
1133,980.1
1137,1692
1140,1955
1143,7984
1149,5790
1150,912.9
1153,752.3
1157,820.7
1180,647.7
1183,966.7
1188,1639
1193,1060
1200,789
1209,4146
1214,1915
1219,1915
1223,6099
1227,820.7
1228,1457
1229,4522
1233,912.9
1238,6346
1239,2064
1241,3380
1243,1759
1244,1153
1245,3197
1277,4543
1279,3197
1292,1.299e+04
1293,1376
1299,9661
1304,3011
1313,3719
1328,2092
1330,1153
1334,1522
1335,1365
1336,5847
1341,1054
1344,1128
1351,897.2
1352,2340
1354,1563
1368,3971
1373,1522
1375,676.3
1381,1522
1384,4737
1385,4323
1388,5615
1401,6099
1402,2724
1404,1522
1406,1440
1409,1163
1422,1440
1429,3197
1433,5615
1438,1119
1444,1163
1446,1163
1450,1153
1451,820.7
1454,1798
1458,2218
1461,3536
1464,5847
1465,1008
1478,2051
1479,1639
1480,2623
1484,2340
1486,897.2
1488,843.2
1489,3256
1491,1008
1507,2092
1515,2092
1519,2651
1528,1731
1529,966.7
1530,3011
1532,1163
1541,1692
1542,3380
1547,1375
1549,1226
1553,2480
1554,2856
1555,1365
1559,1586
1565,1573
1568,1226
1576,3759
1579,1006
1592,980.1
1596,3197
1605,966.7
1607,1442
1612,2092
1617,3087
1619,2276
1620,8417
1624,2583
1627,1314
1633,1717
1636,1246
1639,1128
1640,4272
1644,1119
1646,1522
1647,2443
1654,1375
1655,3011
1664,6099
1665,2174
1667,5140
1669,1153
1678,2142
1682,1955
1689,1060
1690,2724
1693,5629
1695,966.7
1705,2340
1706,2540
1708,2064
1716,2174
1720,8610
1722,1759
1749,4218
1750,1639
1751,5615
1760,2651
1763,4146
1770,1563
1777,1930
1785,5486
1791,1094
1794,4146
1800,1246
1816,1365
1817,980.1
1821,3197
1836,1365
1838,1731
1851,1912
1852,2856
1854,2480
1856,843.2
1865,767
1872,1128
